"email","fechaPrimeraVisita","fechaUltimaVisita","visitasTotales","visitasAnioActual","visitasMesActual","jyv","Badmail","Baja","Fecha envío","Fecha open","Opens","Opens virales","Fecha click","Clicks","Clicks virales","Links","IPs","Navegadores","Plataformas","errores"
"juan.perez@example.com","15/01/2024 09:30","20260220","45","12","4","S","N","N","20/02/2026 10:00","20/02/2026 10:15","2","0","20/02/2026 10:16","1","0","https://bit.ly/3x1","192.168.1.1","Chrome","Windows","0"
"maria.garcia@test.net","02/11/2023 14:20","20260215","120","25","8","N","N","N","15/02/2026 08:00","15/02/2026 08:05","5","1","15/02/2026 08:10","3","1","https://bit.ly/3x2","187.20.45.12","Safari","iOS","0"
"lourdes.m@correo.es","10/02/2026 11:00","20260222","2","2","2","N","N","N","22/02/2026 09:00","22/02/2026 09:30","1","0","22/02/2026 09:35","1","0","https://bit.ly/3x3","10.0.0.1","Edge","MacOS","0"
"admin@webmaster.com","05/03/2024 10:00","20260218","88","15","5","S","N","N","18/02/2026 15:00","18/02/2026 15:10","3","0","18/02/2026 15:12","2","0","https://bit.ly/3x4","192.168.0.5","Chrome","Windows","0"
"carlos.ruiz@gmail.com","12/12/2023 22:15","20260210","200","40","10","N","N","N","10/02/2026 11:00","10/02/2026 11:20","10","2","10/02/2026 11:25","5","2","https://bit.ly/3x5","201.15.10.1","Chrome","Android","0"
"ana.vazquez@outlook.com","01/01/2025 00:00","20260219","30","5","2","S","N","N","19/02/2026 20:00","19/02/2026 20:30","2","0","19/02/2026 20:35","1","0","https://bit.ly/3x6","189.10.5.4","Safari","iOS","0"
"marta.stewart@home.com","25/09/2023 08:00","20260221","150","30","12","S","N","N","21/02/2026 07:00","21/02/2026 07:05","4","0","21/02/2026 07:10","2","0","https://bit.ly/3x7","172.5.8.9","Chrome","Windows","0"
"jorge.campos@gol.com","30/06/2024 12:00","20260220","55","10","5","N","N","N","20/02/2026 14:00","20/02/2026 14:15","1","0","20/02/2026 14:20","1","0","https://bit.ly/3x8","192.168.5.5","Edge","Windows","0"
"lucia.méndez@show.com","14/02/2025 20:00","20260214","24","6","1","S","N","N","14/02/2026 21:00","14/02/2026 21:05","2","0","14/02/2026 21:10","1","0","https://bit.ly/3x9","189.2.2.1","Safari","iOS","0"
"ricardo.tapia@it.com","22/03/2024 09:00","20260201","40","2","0","N","N","N","01/02/2026 09:00","01/02/2026 09:30","1","0","01/02/2026 10:00","1","0","https://bit.ly/3x10","10.0.1.5","Chrome","Linux","0"
"elena.ponia@letras.org","05/10/2023 17:00","20260217","95","18","6","S","N","N","17/02/2026 11:00","17/02/2026 11:05","5","1","17/02/2026 11:10","4","1","https://bit.ly/3x11","187.1.1.1","Firefox","Windows","0"
"pablo.picaso@arte.fr","01/05/2024 11:00","20260212","11","1","0","N","N","N","12/02/2026 10:00","12/02/2026 10:15","1","0","12/02/2026 10:20","1","0","https://bit.ly/3x12","192.10.1.1","Chrome","MacOS","0"
"diego.rivera@mural.mx","11/12/2023 13:00","20260222","66","14","4","S","N","N","22/02/2026 16:00","22/02/2026 16:30","3","0","22/02/2026 16:40","2","0","https://bit.ly/3x13","201.5.5.5","Chrome","Windows","0"
"frida.kahlo@pintura.com","06/07/2024 14:00","20260220","33","7","3","N","N","N","20/02/2026 08:00","20/02/2026 08:30","2","0","20/02/2026 08:45","1","0","https://bit.ly/3x14","189.8.8.8","Safari","iOS","0"
"benito.j@gob.mx","21/03/2024 07:00","20251231","100","0","0","S","N","N","31/12/2025 23:50","31/12/2025 23:55","1","0","01/01/2026 00:05","1","0","https://bit.ly/3x15","10.10.10.10","Edge","Windows","0"
"sorjuana.i@convento.edu","12/11/2023 12:00","20260219","80","20","5","N","N","N","19/02/2026 13:00","19/02/2026 13:05","6","2","19/02/2026 13:10","3","1","https://bit.ly/3x16","187.6.6.6","Chrome","Windows","0"
"pancho.villa@norte.com","20/11/2023 05:00","20260205","44","4","1","S","N","N","05/02/2026 06:00","05/02/2026 06:10","2","0","05/02/2026 06:15","1","0","https://bit.ly/3x17","201.2.2.2","Firefox","Linux","0"
"emiliano.z@tierra.org","10/04/2024 08:00","20260221","22","5","3","N","N","N","21/02/2026 10:00","21/02/2026 10:05","1","0","21/02/2026 10:10","1","0","https://bit.ly/3x18","172.5.5.5","Chrome","Android","0"
"miguel.h@campana.mx","16/09/2023 23:00","20260215","150","22","7","S","N","N","15/02/2026 08:00","15/02/2026 08:30","4","1","15/02/2026 09:00","2","1","https://bit.ly/3x19","189.4.4.4","Chrome","Windows","0"
